algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,execution_time
bsdrcnn,lucas,16,robust,dyn,0.05,0.7714321613311768,1.4012503623962402,2.0928712429804883,0.7081797738513972,0.9575769901275636,0.6226125955581665,4.85734224319458,1.6122889518737793,8.177479267120361
bsdrcnn,lucas,16,robust,dyn,0.15,0.8413631916046143,1.1829078197479248,2.451420899672495,0.8421354274145896,0.9120838046073914,0.809411883354187,3.373121500015259,1.1573609113693235,20.64757990837097
bsdrcnn,lucas,16,robust,dyn,0.25,0.8447890281677246,1.157979965209961,2.541761720201525,0.870190215308549,0.9088298678398132,0.8830673098564148,3.3121769428253174,1.119400143623352,35.810285806655884
bsdrcnn,lucas,16,robust,dyn,0.35,0.8743435144424438,1.038521647453308,2.8451999248679947,0.9665965269825089,0.906217396259308,0.9023543000221252,3.2656326293945312,1.0657519102096558,49.44994330406189
bsdrcnn,lucas,16,robust,dyn,0.45,0.8730270266532898,1.044339656829834,2.830813180781535,0.964880370729072,0.9078259468078612,0.893039882183075,3.29395604133606,1.1326417922973633,64.38281536102295
bsdrcnn,lucas,16,robust,dyn,0.55,0.8724042773246765,1.0425924062728882,2.7557613220397625,0.9591475959189556,0.9048171043395996,0.9099198579788208,3.241445302963257,1.1032085418701172,79.4608142375946
bsdrcnn,lucas,16,robust,dyn,0.65,0.8777742981910706,1.0432995557785034,2.9122765175212812,0.9777776065164068,0.8947039842605591,0.9439839720726012,3.0818352699279785,1.055281162261963,93.40977025032043
bsdrcnn,lucas,16,robust,dyn,0.75,0.8756861686706543,1.018943428993225,2.8865026889582674,0.9738883793886811,0.8935359120368958,0.9627721309661864,3.0648674964904785,1.0317031145095823,108.4223279953003
bsdrcnn,lucas,16,robust,dyn,0.85,0.8903582692146301,0.9834701418876648,3.2300376246259725,1.025573270296985,0.9009890556335448,0.9217894077301024,3.1781184673309326,1.083807349205017,109.61914682388306
bsdrcnn,lucas,16,robust,dyn,0.95,0.9077202081680298,0.9494795799255372,3.2843053931152184,1.022943924599477,0.9019148349761964,0.9161498546600342,3.19307279586792,1.099888563156128,121.12818670272829
bsdrcnn,lucas,32,robust,dyn,0.05,0.780348124504089,1.436453104019165,2.041581851485179,0.6908246165324992,0.9703205823898317,0.5353031754493713,5.807266712188721,1.8752577304840088,9.35739254951477
bsdrcnn,lucas,32,robust,dyn,0.15,0.8761966228485107,1.0304466485977173,2.8141242981014933,0.9667347491799932,0.9439545273780824,0.704296886920929,4.224703311920166,1.4769763946533203,24.94113206863404
bsdrcnn,lucas,32,robust,dyn,0.25,0.8842563629150391,1.0024453401565552,2.936129313416037,1.0052047676651097,0.937174379825592,0.7274986505508423,3.989987373352051,1.3429735898971558,40.65376710891724
