algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,fold,selected_bands
bsdrfc,lucas,8,robust,static,0.84,1.2000000476837158,2.5199999809265137,0.8500000238418579,0.84,1.159999966621399,2.5,0.8600000143051147,0,466|927|1389|1850|2312|2773|3235|3696
bsdrfc,lucas,8,robust,dyn,0.88,1.0299999713897705,2.940000057220459,0.9900000095367432,0.88,1.0099999904632568,2.869999885559082,0.9900000095367432,0,409|1086|1281|1927|2006|2928|3456|3746
bsdrfc,lucas,8,robust,semi,0.87,1.090000033378601,2.7699999809265137,0.9300000071525574,0.86,1.0700000524520874,2.7100000381469727,0.9300000071525574,0,472|1056|1398|1893|2187|2785|3194|3751
bsdrfc,lucas,16,robust,static,0.88,1.0299999713897705,2.859999895095825,0.9800000190734863,0.88,1.0099999904632568,2.9100000858306885,0.9900000095367432,0,249|493|737|982|1226|1470|1715|1959|2203|2448|2692|2936|3181|3425|3669|3914
bsdrfc,lucas,16,robust,dyn,0.88,1.0,2.930000066757202,1.0099999904632568,0.89,0.9700000286102295,3.0299999713897705,1.0299999713897705,0,221|562|693|803|966|1536|1935|1983|2152|2531|2674|2803|3282|3478|3602|3857
bsdrfc,lucas,16,robust,semi,0.89,0.9900000095367432,2.9600000381469727,1.0199999809265137,0.89,0.9700000286102295,3.0399999618530273,1.0299999713897705,0,257|520|734|875|1198|1421|1899|1987|2235|2488|2780|2929|3261|3482|3614|3933
bsdrfc,lucas,32,robust,static,0.9,0.949999988079071,3.109999895095825,1.0199999809265137,0.89,0.9900000095367432,2.9800000190734863,1.0299999713897705,0,130|256|382|508|634|759|885|1011|1137|1263|1389|1515|1641|1766|1892|2018|2144|2270|2396|2522|2648|2773|2899|3025|3151|3277|3403|3529|3655|3780|3906|4032
bsdrfc,lucas,32,robust,dyn,0.9,0.9399999976158142,3.130000114440918,1.0299999713897705,0.89,0.9800000190734863,2.9800000190734863,1.0299999713897705,0,189|271|529|648|697|728|931|962|1008|1132|1559|1628|1898|1923|1985|1987|2048|2344|2351|2531|2748|2771|2964|3275|3290|3456|3462|3679|3816|3864|3915
bsdrfc,lucas,32,robust,semi,0.9,0.9300000071525574,3.1700000762939453,1.0499999523162842,0.89,0.9599999785423279,3.049999952316284,1.0499999523162842,0,123|242|392|529|637|734|895|907|988|1352|1414|1440|1629|1865|1922|2029|2150|2494|2529|2532|2646|2770|2923|3041|3186|3307|3465|3551|3683|3744|3917|3992
bsdrfc,lucas,64,robust,static,0.9,0.949999988079071,3.1600000858306885,1.0800000429153442,0.89,0.949999988079071,3.0799999237060547,1.0499999523162842,0,68|132|196|260|324|388|452|515|579|643|707|771|835|899|963|1027|1091|1154|1218|1282|1346|1410|1474|1538|1602|1666|1730|1794|1857|1921|1985|2049|2113|2177|2241|2305|2369|2433|2496|2560|2624|2688|2752|2816|2880|2944|3008|3072|3136|3199|3263|3327|3391|3455|3519|3583|3647|3711|3775|3838|3902|3966|4030|4094
bsdrfc,lucas,64,robust,dyn,0.91,0.9200000166893005,3.259999990463257,1.1200000047683716,0.9,0.9300000071525574,3.119999885559082,1.059999942779541,0,42|165|209|296|323|475|530|532|662|665|712|722|734|903|975|976|979|990|1025|1114|1313|1360|1377|1463|1561|1651|1655|1846|1918|1925|1987|2024|2079|2130|2145|2268|2297|2313|2532|2533|2535|2624|2677|2747|2921|2977|2980|3179|3278|3284|3465|3467|3474|3609|3698|3721|3748|3812|3911|3936|3982|4133
bsdrfc,lucas,64,robust,semi,0.91,0.9200000166893005,3.259999990463257,1.1200000047683716,0.9,0.9300000071525574,3.140000104904175,1.0700000524520874,0,63|156|188|244|314|438|507|511|595|652|689|711|792|929|930|980|1061|1114|1118|1313|1316|1420|1475|1579|1634|1697|1772|1833|1873|1900|1985|2052|2140|2266|2301|2304|2320|2375|2531|2533|2631|2755|2777|2922|2967|3000|3052|3157|3205|3207|3357|3477|3481|3572|3625|3725|3754|3823|3901|3969|3981|4111
bsdrfc,lucas,128,robust,static,0.88,1.0,2.9000000953674316,0.9900000095367432,0.89,0.9900000095367432,2.990000009536743,1.0199999809265137,0,36|69|101|133|165|197|230|262|294|326|358|391|423|455|487|519|552|584|616|648|680|713|745|777|809|841|874|906|938|970|1002|1035|1067|1099|1131|1163|1196|1228|1260|1292|1324|1357|1389|1421|1453|1485|1518|1550|1582|1614|1646|1679|1711|1743|1775|1807|1840|1872|1904|1936|1968|2001|2033|2065|2097|2129|2162|2194|2226|2258|2290|2323|2355|2387|2419|2451|2484|2516|2548|2580|2612|2645|2677|2709|2741|2773|2806|2838|2870|2902|2934|2967|2999|3031|3063|3095|3128|3160|3192|3224|3256|3289|3321|3353|3385|3417|3450|3482|3514|3546|3578|3611|3643|3675|3707|3739|3772|3804|3836|3868|3900|3933|3965|3997|4029|4061|4094|4126
bsdrfc,lucas,128,robust,dyn,0.89,0.949999988079071,3.049999952316284,1.0399999618530273,0.9,0.9300000071525574,3.180000066757202,1.0800000429153442,0,28|126|142|164|172|198|231|295|310|321|414|501|503|517|522|525|601|612|660|661|662|664|683|700|723|760|852|934|945|974|1017|1024|1032|1035|1050|1057|1065|1090|1129|1135|1220|1230|1254|1265|1316|1425|1526|1556|1597|1599|1641|1764|1850|1872|1890|1921|1922|1924|1976|1981|1983|1984|1987|2015|2084|2138|2142|2144|2148|2149|2187|2252|2275|2368|2373|2513|2532|2533|2536|2540|2596|2654|2756|2783|2900|2918|2930|2959|2989|3001|3018|3047|3153|3183|3203|3275|3318|3319|3470|3475|3477|3478|3568|3608|3610|3733|3736|3741|3766|3775|3820|3899|3903|3933|3967|3969|3985|4115|4144
bsdrfc,lucas,128,robust,semi,0.89,0.9399999976158142,3.069999933242798,1.0499999523162842,0.9,0.9200000166893005,3.2100000381469727,1.090000033378601,0,32|72|149|164|178|182|209|270|291|317|338|377|450|509|515|521|549|609|645|672|675|686|703|707|753|835|865|893|927|999|1001|1012|1045|1064|1126|1139|1147|1178|1254|1318|1320|1353|1363|1383|1452|1511|1557|1577|1578|1589|1674|1725|1768|1801|1852|1860|1872|1891|1908|1916|1982|1986|2030|2063|2086|2151|2162|2179|2263|2325|2366|2531|2532|2533|2535|2536|2537|2547|2572|2631|2655|2711|2771|2776|2779|2786|2896|2920|2943|2997|3000|3042|3057|3146|3150|3165|3178|3291|3306|3446|3470|3473|3476|3477|3562|3588|3609|3688|3689|3731|3735|3743|3815|3844|3898|3900|3934|3961|3987|3994|4093|4115|4129
bsdrfc,lucas,256,robust,static,0.87,1.0399999618530273,2.7799999713897705,0.9900000095367432,0.87,1.059999942779541,2.7899999618530273,0.9399999976158142,0,20|37|53|69|85|101|117|134|150|166|182|198|214|230|247|263|279|295|311|327|344|360|376|392|408|424|441|457|473|489|505|521|538|554|570|586|602|618|635|651|667|683|699|715|732|748|764|780|796|812|828|845|861|877|893|909|925|942|958|974|990|1006|1022|1039|1055|1071|1087|1103|1119|1136|1152|1168|1184|1200|1216|1233|1249|1265|1281|1297|1313|1330|1346|1362|1378|1394|1410|1427|1443|1459|1475|1491|1507|1523|1540|1556|1572|1588|1604|1620|1637|1653|1669|1685|1701|1717|1734|1750|1766|1782|1798|1814|1831|1847|1863|1879|1895|1911|1928|1944|1960|1976|1992|2008|2025|2041|2057|2073|2089|2105|2122|2138|2154|2170|2186|2202|2218|2235|2251|2267|2283|2299|2315|2332|2348|2364|2380|2396|2412|2429|2445|2461|2477|2493|2509|2526|2542|2558|2574|2590|2606|2623|2639|2655|2671|2687|2703|2720|2736|2752|2768|2784|2800|2817|2833|2849|2865|2881|2897|2913|2930|2946|2962|2978|2994|3010|3027|3043|3059|3075|3091|3107|3124|3140|3156|3172|3188|3204|3221|3237|3253|3269|3285|3301|3318|3334|3350|3366|3382|3398|3415|3431|3447|3463|3479|3495|3511|3528|3544|3560|3576|3592|3608|3625|3641|3657|3673|3689|3705|3722|3738|3754|3770|3786|3802|3819|3835|3851|3867|3883|3899|3916|3932|3948|3964|3980|3996|4013|4029|4045|4061|4077|4093|4110|4126|4142
bsdrfc,lucas,256,robust,dyn,0.88,0.9900000095367432,2.9100000858306885,1.0299999713897705,0.88,1.0099999904632568,2.9200000762939453,0.9900000095367432,0,20|32|89|105|130|158|166|167|174|181|183|188|199|248|285|296|297|304|311|315|322|409|474|505|507|523|527|530|531|533|535|547|550|600|641|661|688|690|720|725|729|734|736|738|741|757|779|846|851|868|960|964|966|983|990|999|1004|1005|1016|1018|1019|1021|1033|1038|1048|1049|1096|1123|1154|1158|1258|1282|1284|1312|1324|1340|1383|1389|1403|1406|1423|1425|1427|1458|1469|1490|1524|1535|1548|1553|1557|1574|1613|1642|1646|1654|1674|1686|1743|1804|1808|1839|1873|1874|1887|1901|1905|1918|1922|1923|1925|1977|1978|1979|1980|1981|1984|2017|2018|2079|2096|2119|2125|2127|2130|2136|2141|2142|2144|2145|2165|2286|2398|2518|2525|2528|2529|2532|2533|2534|2536|2539|2540|2578|2580|2594|2605|2608|2611|2627|2656|2695|2720|2754|2765|2772|2774|2778|2784|2785|2790|2796|2798|2878|2946|2956|2959|2960|2965|2966|3008|3129|3144|3149|3170|3188|3197|3260|3267|3303|3305|3313|3314|3316|3470|3473|3474|3475|3476|3604|3605|3606|3607|3609|3682|3685|3728|3730|3731|3786|3805|3810|3812|3813|3815|3867|3896|3900|3905|3922|3934|3969|3973|3974|3986|3988|3992|4057|4115|4125|4138|4142|4148
