epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
110,0.42719,1.3214000463485718,0.4702500104904175,2.1754000186920166,0.42994,2.2316699028015137,1.3244999647140503,0.4446600079536438,555,790,1291,2021,2092,2708,3484,3683
120,0.45224,1.3512799739837646,0.4808799922466278,2.127310037612915,0.45489,2.1822900772094727,1.3544700145721436,0.45471999049186707,576,805,1293,2021,2068,2717,3487,3685
130,0.47221,1.3766100406646729,0.48989999294281006,2.0881600379943848,0.47537,2.140899896621704,1.380660057067871,0.46351000666618347,592,818,1297,2022,2073,2708,3487,3688
140,0.48969,1.3999799489974976,0.4982199966907501,2.053299903869629,0.49315,2.104300022125244,1.404670000076294,0.47157999873161316,600,829,1308,2021,2080,2715,3487,3692
150,0.50656,1.4237099885940552,0.506659984588623,2.0190699100494385,0.50998,2.0690701007843018,1.4285900592803955,0.47960999608039856,606,836,1315,2021,2086,2711,3486,3692
160,0.5223,1.4469900131225586,0.5149499773979187,1.9866000413894653,0.52584,2.0353000164031982,1.4522900581359863,0.4875600039958954,611,842,1313,2021,2091,2713,3486,3687
170,0.53751,1.4705899953842163,0.5233399868011475,1.9547100067138672,0.54137,2.001689910888672,1.4766700267791748,0.4957500100135803,615,845,1309,2021,2094,2712,3486,3681
180,0.55223,1.4945600032806396,0.5318700075149536,1.9233700037002563,0.55615,1.969190001487732,1.501039981842041,0.5039299726486206,616,849,1304,2021,2100,2712,3486,3672
190,0.56576,1.5176600217819214,0.540090024471283,1.8940900564193726,0.57008,1.9380300045013428,1.5251799821853638,0.5120300054550171,617,850,1303,2021,2107,2713,3485,3664
200,0.57907,1.5414799451828003,0.5485699772834778,1.8648200035095215,0.58438,1.9055399894714355,1.5511800050735474,0.5207599997520447,618,857,1305,2022,2109,2713,3485,3656
210,0.59278,1.5672099590301514,0.5577300190925598,1.8342000246047974,0.59862,1.8726099729537964,1.5784599781036377,0.5299199819564819,619,863,1305,2022,2108,2713,3483,3651
220,0.60676,1.5948200225830078,0.5675600171089172,1.8024400472640991,0.61236,1.8402600288391113,1.6062099933624268,0.5392400026321411,622,869,1302,2022,2103,2713,3483,3648
230,0.61905,1.6203500032424927,0.5766400098800659,1.774049997329712,0.62449,1.8112599849700928,1.6319299936294556,0.5478699803352356,630,879,1304,2022,2105,2714,3482,3645
240,0.62921,1.6423900127410889,0.5844900012016296,1.7502399682998657,0.6345,1.7869600057601929,1.6541199684143066,0.5553200244903564,636,883,1306,2022,2111,2718,3482,3643
250,0.63845,1.6632499694824219,0.5919100046157837,1.7282899618148804,0.64414,1.7632100582122803,1.6763999462127686,0.5627999901771545,636,884,1308,2023,2119,2728,3481,3638
260,0.6487,1.6873400211334229,0.6004800200462341,1.7036099433898926,0.65415,1.7382500171661377,1.700469970703125,0.5708799958229065,635,884,1310,2023,2131,2776,3480,3635
270,0.65851,1.7114100456237793,0.6090499758720398,1.6796599626541138,0.66348,1.7146400213241577,1.723889946937561,0.5787400007247925,636,886,1312,2023,2148,2831,3482,3636
280,0.66731,1.7338900566101074,0.6170499920845032,1.6578799486160278,0.67221,1.6922600269317627,1.7466800212860107,0.5863999724388123,636,887,1314,2023,2166,2819,3481,3633
290,0.67607,1.7571799755096436,0.6253299713134766,1.6359000205993652,0.68059,1.6704800128936768,1.7694599628448486,0.5940399765968323,636,887,1320,2023,2166,2816,3480,3628
300,0.68463,1.7808500528335571,0.6337599754333496,1.6141599416732788,0.68876,1.6489700078964233,1.7925399541854858,0.6017900109291077,637,889,1329,2023,2176,2816,3479,3625
310,0.69274,1.8042199611663818,0.6420699954032898,1.5932600498199463,0.69675,1.6276799440383911,1.8159799575805664,0.6096600294113159,637,890,1336,2024,2191,2811,3478,3620
320,0.70068,1.8279800415039062,0.6505299806594849,1.572540044784546,0.70434,1.6071799993515015,1.8391400575637817,0.6174399852752686,637,892,1344,2023,2201,2809,3477,3609
330,0.70799,1.8507299423217773,0.6586300134658813,1.5532200336456299,0.71103,1.5888899564743042,1.8603299856185913,0.6245499849319458,643,897,1345,2023,2204,2803,3477,3592
340,0.71414,1.8705300092697144,0.6656699776649475,1.536769986152649,0.71727,1.5716300010681152,1.8807499408721924,0.6313999891281128,644,904,1346,2023,2207,2781,3474,3594
350,0.72016,1.890529990196228,0.672789990901947,1.5205199718475342,0.72325,1.5549299716949463,1.9009499549865723,0.638189971446991,646,909,1348,2023,2208,2774,3474,3601
